morphemes	target	prediction	morphemes_predseg	prediction_predseg
?	Punc	Punc	?	Punc
a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre2_BPre2_NStem_BPre9_NStem	a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem
ba_sebenz_a	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm	ba_sebenz_a	SC2_VRoot_VerbTerm
nga_okwa_a_ma_qela	AdvPre_AdvPre_NPrePre6_BPre6_NStem	AdvPre_AdvPre_NPrePre6_BPre6_NStem	nga_okwa_a_ma_qela	AdvPre_AdvPre_NPrePre6_BPre6_NStem
a_ma_4	NPrePre6_BPre6_Num	NPrePre6_BPre6_Num	a_ma_4	NPrePre6_BPre6_Num
u_ku_y_a	SC15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_y_a	NPrePre15_BPre15_VRoot_VerbTerm
ku_6	LocPre_Num	LocPre_Num	ku_6	LocPre_Num
ba_ze	SC2_AuxVStem	SC2_AuxVStem	ba_ze	SC2_AuxVStem
ba_phuhl_is_e	SC2_VRoot_CausExt_VerbTerm	SC2_VRoot_CausExt_VerbTerm	ba_phuhl_is_e	SC2_VRoot_CausExt_VerbTerm
i_si_cwangciso	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_cwangciso	NPrePre7_BPre7_NStem
sa_u_m_sebenzi	PossConc7_NPrePre3_BPre3_NStem	PossConc7_NPrePre3_BPre3_NStem	sa_u_m_sebenzi	PossConc7_NPrePre3_BPre3_NStem
ka_u_masipala	PossKA_NPrePre1a_NStem	PossKA_NPrePre1a_NStem	ka_u_masipala	PossKA_NPrePre1a_NStem
.	Punc	Punc	.	Punc
u_ku_zi_bandakany_a	NPrePre15_BPre15_ReflPre_VRoot_VerbTerm	NPrePre15_BPre15_ReflPre_VRoot_VerbTerm	u_ku_zi_bandakany_a	NPrePre15_BPre15_ReflPre_VRoot_VerbTerm
kwa_a_ba_hlali	PossConc15_NPrePre2_BPre2_NStem	PossConc15_NPrePre2_BPre2_NStem	kwa_a_ba_hlali	PossConc15_NPrePre2_BPre2_NStem
ku_i_IDP	LocPre_NPrePre9_Abbr	LocPre_NPrePre9_Abbr	ku_i_idp	LocPre_NPrePre9_NStem
ku_vum_el_a	SC15_VRoot_ApplExt_VerbTerm	SC15_VRoot_ApplExt_VerbTerm	ku_vum_el_a	SC15_VRoot_ApplExt_VerbTerm
u_ku_shenx_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_shenx_a	NPrePre15_BPre15_VRoot_VerbTerm
kwa_a_be_mi	PossConc15_NPrePre2_BPre2_NStem	PossConc15_NPrePre2_BPre2_NStem	kwa_a_be_mi	PossConc15_NPrePre2_BPre2_NStem
aba_ng_a_ba_sebenzisi	RelConc2_CopPre_NPrePre2_BPre2_NStem	RelConc2_CopPre_NPrePre2_BPre2_NStem	aba_nga_ba_sebenz_is_i	RelConc2_NegPre_OC2_VRoot_CausExt_VerbTerm
aba_nge_na_galelo	RelConc2_NegPre_CopPre_NStem	RelConc2_NegPre_CopPre_NStem	aba_nge_na_ga_lelo	RelConc2_NegPre_CopPre_NStem_Dem4
ku_i_(z)in_konzo	LocPre_NPrePre10_BPre10_NStem	LocPre_NPrePre10_BPre10_NStem	ku_i_(z)in_konzo	LocPre_NPrePre10_BPre10_NStem
ba_be	SC2_AuxVStem	CopPre_Cop	ba_be	CopPre_Cop
ng_a_be_mi	CopPre_NPrePre2_BPre2_NStem	CopPre_NPrePre2_BPre2_NStem	nga_a_be_mi	AdvPre_NPrePre2_BPre2_NStem
aba_zi_enz_el_a_yo	RelConc2_ReflPre_VRoot_ApplExt_VerbTerm_RelSuf	RelConc2_ReflPre_VRoot_ApplExt_VerbTerm_RelSuf	aba_zi_enz_el_a_yo	RelConc2_ReflPre_VRoot_ApplExt_VerbTerm_RelSuf
na_a_ba_ku_az_i_yo	AdvPre_NPrePre2_BPre2_SC15_VRoot_VerbTerm_RelSuf	AdvPre_NegPre_RelConc2_OC15_VRoot_VerbTerm_RelSuf	na_aba_ku_az_i_yo	AdvPre_RelConc2_BPre15_VRoot_VerbTerm_RelSuf
u_ku_thath_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_thath_a	NPrePre15_BPre15_VRoot_VerbTerm
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_xaxheba	NPrePre9_BPre9_NStem
e_u_ku_hlangabez_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_hlangabez_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_zin_to	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_to	NPrePre10_BPre10_NStem
ezi_phambili	RelConc10_Adv	RelConc10_Adv	ezi_phambili	RelConc10_Adv
ku_u_(lu)_phuhliso	LocPre_NPrePre11_BPre11_NStem	LocPre_NPrePre11_BPre11_NStem	ku_u_(lu)_phuhliso	LocPre_NPrePre11_BPre11_NStem
lwa_bo	PossConc11_PronStem2	PossConc11_PronStem2	lwa_bo	PossConc11_PronStem2
.	Punc	Punc	.	Punc
u_lawulo	NPrePre11_NStem	NPrePre11_NStem	u_lawulo	NPrePre11_NStem
lwa_u_ku_sebenz_a	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm	lwa_u_ku_sebenz_a	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm
s_i_si_xhobo	CopPre_NPrePre7_BPre7_NStem	CopPre_NPrePre7_BPre7_NStem	s_i_si_xhobo	CopPre_NPrePre7_BPre7_NStem
esi_nga_sebenz_is_w_a	RelConc7_NegPre_VRoot_CausExt_PassExt_VerbTerm	RelConc7_Pot_VRoot_CausExt_PassExt_VerbTerm	esi_nga_sebenz_is_w_a	RelConc7_Pot_VRoot_CausExt_PassExt_VerbTerm
u_ku_nced_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_nced_a	NPrePre15_BPre15_VRoot_VerbTerm
ku_qinisek_is_w_e	SC15_VRoot_CausExt_PassExt_VerbTerm	SC15_VRoot_CausExt_PassExt_VerbTerm	ku_qinisek_is_w_e	SC15_VRoot_CausExt_PassExt_VerbTerm
u_ku_hamb_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	u_ku_hamb_is_w_a	NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
ngcono	Adv	Adv	ngcono	Adv
kwa_i_(z)in_konzo	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwa_i_(z)in_konzo	PossConc15_NPrePre10_BPre10_NStem
na_u_ku_phucul_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	na_u_ku_phucul_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
u_ku_sebenz_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_sebenz_a	NPrePre15_BPre15_VRoot_VerbTerm
nga_i_zi_phumo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	nga_i_zi_phumo	AdvPre_NPrePre8_BPre8_NStem
na_nga_i_mi_gangatho	AdvPre_AdvPre_NPrePre4_BPre4_NStem	AdvPre_AdvPre_NPrePre4_BPre4_NStem	na_nga_i_mi_gangatho	AdvPre_AdvPre_NPrePre4_BPre4_NStem
e_ngcono	RelConc9_RelStem	RelConc9_RelStem	e_ngcono	RelConc9_RelStem
.	Punc	Punc	.	Punc
okwa_i_si_thathu	AdvPre_NPrePre7_BPre7_AdjStem	AdvPre_NPrePre7_BPre7_NStem	okwa_i_si_thathu	AdvPre_NPrePre7_BPre7_NStem
,	Punc	Punc	,	Punc
i_mi_ba	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_ba	NPrePre4_BPre4_NStem
e_phambili	RelConc9_Adv	RelConc4_Adv	e_phambili	RelConc4_Adv
ya_u_ku_and_is_a	PossConc4_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	PossConc9_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	ya_u_ku_and_is_a	PossConc9_NPrePre15_BPre15_VRoot_CausExt_VerbTerm
okanye	Conj	Conj	okanye	Conj
ya_u_ku_phucul_a	PossConc4_NPrePre15_BPre15_VRoot_VerbTerm	PossConc9_NPrePre15_BPre15_VRoot_VerbTerm	ya_u_ku_phucul_a	PossConc9_NPrePre15_BPre15_VRoot_VerbTerm
i_(z)in_konzo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_konzo	NPrePre10_BPre10_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
ku_gqib_w_e	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	ku_gqib_w_e	SC15_VRoot_PassExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	nga_yo	AdvPre_PronStem9
.	Punc	Punc	.	Punc
ba_akuba	SC2_AuxVStem	SC2_AuxVStem	ba_ukuba	PossConc14_Conj
be_cac_is_e	SC2_VRoot_CausExt_VerbTerm	SC2_VRoot_CausExt_VerbTerm	be_cac_is_e	SC2_VRoot_CausExt_VerbTerm
i_zin_to	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zin_to	NPrePre10_BPre10_NStem
aba_zi_fumanis_il_e_yo	RelConc2_OC10_VRoot_Perf_VerbTerm_RelSuf	RelConc2_OC10_VRoot_Perf_VerbTerm_RelSuf	aba_zi_fumanis_il_e_yo	RelConc2_OC10_VRoot_Perf_VerbTerm_RelSuf
phambi	Adv	Adv	phambi	Adv
kwa_bo	PossConc15_PronStem2	PossConc15_PronStem2	kwa_bo	PossConc15_PronStem2
bo_nke	QuantConc2_QuantStem	QuantConc2_QuantStem	bo_nke	QuantConc2_QuantStem
a_ba_ntu	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_ntu	NPrePre2_BPre2_NStem
,	Punc	Punc	,	Punc
ba_zi_ahlul_a	SC2_ReflPre_VRoot_VerbTerm	SC2_ReflPre_VRoot_VerbTerm	ba_zi_ahlul_a	SC2_ReflPre_VRoot_VerbTerm
nga_okwa_a_ma_qela	AdvPre_AdvPre_NPrePre6_BPre6_NStem	AdvPre_AdvPre_NPrePre6_BPre6_NStem	nga_okwa_a_ma_qela	AdvPre_AdvPre_NPrePre6_BPre6_NStem
ama_ncinci	AdjPref6_AdjStem	AdjPref6_AdjStem	ama_ncinci	AdjPref6_AdjStem
ba_nik_e	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm	ba_nik_e	SC2_VRoot_VerbTerm
i_(li)_qela	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	i_(li)_qela	NPrePre5_BPre5_NStem
nga_li_nye	AdvPre_EnumConc5_EnumStem	AdvPre_EnumConc5_EnumStem	nga_li_nye	AdvPre_EnumConc5_EnumStem
u_lu_dwe	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_dwe	NPrePre11_BPre11_NStem
lwa_u_ku_qwalasel_a	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm	lwa_u_ku_qwalasel_a	PossConc11_NPrePre15_BPre15_VRoot_VerbTerm
olu_nga_bhal_w_a_nga	RelConc11_NegPre_VRoot_PassExt_VerbTerm_NegPre	RelConc11_NegPre_VRoot_PassExt_VerbTerm_NegPre	olu_nga_bhal_w_a_nga	RelConc11_NegPre_VRoot_PassExt_VerbTerm_NegPre
n_to	BPre9_NStem	BPre9_NStem	n_to	BPre9_NStem
nga_i_m_pahla	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	nga_i_m_pahla	AdvPre_NPrePre9_BPre9_NStem
e_xabis_ek_il_e_yo	RelConc9_VRoot_NeutExt_Perf_VerbTerm_RelSuf	RelConc9_VRoot_NeutExt_Perf_VerbTerm_RelSuf	e_xabis_ek_il_e_yo	RelConc9_VRoot_NeutExt_Perf_VerbTerm_RelSuf
.	Punc	Punc	.	Punc
a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre2_BPre2_NStem_BPre9_NStem	a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem
ma_ba_zalis_e	ImpPre_SC2_VRoot_VerbTerm	ImpPre_SC2_VRoot_VerbTerm	ma_ba_zal_is_e	ImpPre_SC2_VRoot_CausExt_VerbTerm
u_lu_dwe	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_dwe	NPrePre11_BPre11_NStem
lwa_u_ku_qwalasel_w_a	PossConc11_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	PossConc11_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	lwa_u_ku_qwalasel_w_a	PossConc11_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
u_ku_enz_el_a	NPrePre15_BPre15_VRoot_ApplExt_VerbTerm	NPrePre15_BPre15_VRoot_ApplExt_VerbTerm	u_ku_enz_el_a	NPrePre15_BPre15_VRoot_ApplExt_VerbTerm
i_(li)_qela	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	i_(li)_qela	NPrePre5_BPre5_NStem
eli_nye	AdjPref5_AdjStem	AdjPref5_AdjStem	eli_nye	AdjPref5_AdjStem
la_e_za_i_n_tlalo	PossConc5_RelConc8_PossConc8_NPrePre9_BPre9_NStem	PossConc5_RelConc8_PossConc8_NPrePre9_BPre9_NStem	la_e_za_i_n_tlalo	PossConc5_RelConc8_PossConc8_NPrePre9_BPre9_NStem
ku_i_wadi	LocPre_NPrePre9_NStem	LocPre_NPrePre9_NStem	ku_i_wadi	LocPre_NPrePre9_NStem
ya_bo	PossConc9_PronStem2	PossConc9_PronStem2	ya_bo	PossConc9_PronStem2
.	Punc	Punc	.	Punc
u_ku_sek_w_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	u_ku_sek_w_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_i_(li)_bhunga	PossConc15_NPrePre5_BPre5_NStem	PossConc15_NPrePre5_BPre5_NStem	kwa_i_bhunga	PossConc15_NPrePre5_NStem
la_i_AIDS	PossConc5_NPrePre9_Abbr	PossConc5_NPrePre9_Abbr	la_i_aids	PossConc5_NPrePre9_NStem
ku_i_si_thili	LocPre_NPrePre7_BPre7_NStem	LocPre_NPrePre7_BPre7_NStem	ku_i_si_thili	LocPre_NPrePre7_BPre7_NStem
.	Punc	Punc	.	Punc
i_si_dima	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_dima	NPrePre7_BPre7_NStem
-	Punc	Punc	-	Punc
u_ku_thath_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_thath_a	NPrePre15_BPre15_VRoot_VerbTerm
i_n_xaxheba	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_xaxheba	NPrePre9_BPre9_NStem
na_a_ma_qela	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	na_a_ma_qela	AdvPre_NPrePre6_BPre6_NStem
o_nke	QuantConc6_QuantStem	QuantConc6_QuantStem	o_nke	QuantConc6_QuantStem
a_chaphazel_ek_a_yo	RelConc6_VRoot_NeutExt_VerbTerm_RelSuf	RelConc6_VRoot_NeutExt_VerbTerm_RelSuf	a_chaphazel_ek_a_yo	RelConc6_VRoot_NeutExt_VerbTerm_RelSuf
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
ku_sek_el_w_e	SC15_VRoot_ApplExt_PassExt_VerbTerm	SC15_VRoot_ApplExt_PassExt_VerbTerm	ku_sek_el_w_e	SC15_VRoot_ApplExt_PassExt_VerbTerm
ku_i_n_tlonipho	LocPre_NPrePre9_BPre9_NStem	LocPre_NPrePre9_BPre9_NStem	ku_i_n_tlonipho	LocPre_NPrePre9_BPre9_NStem
ya_a_ma_cala	PossConc9_NPrePre6_BPre6_NStem	PossConc9_NPrePre6_BPre6_NStem	ya_a_ma_cala	PossConc9_NPrePre6_BPre6_NStem
,	Punc	Punc	,	Punc
u_ku_lingan_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_lingan_a	NPrePre15_BPre15_VRoot_VerbTerm
na_i_si_dima	AdvPre_NPrePre7_BPre7_NStem	AdvPre_NPrePre7_BPre7_NStem	na_i_si_dima	AdvPre_NPrePre7_BPre7_NStem
.	Punc	Punc	.	Punc
u_sodolophu	NPrePre1a_NStem	NPrePre1a_NStem	u_sodolophu	NPrePre1a_NStem
u_Mathabo	NPrePre1a_ProperName	NPrePre1a_ProperName	u_mathabo	NPrePre11_NStem
Leeto	ProperName	Foreign	la_i_(z)i_to	PossConc5_NPrePre10_BPre10_NStem
ku_u_masipala	LocPre_NPrePre1a_NStem	LocPre_NPrePre1a_NStem	ku_u_masipala	LocPre_NPrePre1a_NStem
i_Matjhabeng	NPrePre9_NStem	SC9_NStem	i_matjhabeng	SC9_NStem
e_Free	LocPre_ProperName	LocPre_ProperName	e_freeeeeeeeeeeeeee	PossConc6_SC7
State	ProperName	ProperName	state	Ideoph
u_a_ngen_a	SC1a_Past_VRoot_VerbTerm	SC2ps_Past_VRoot_VerbTerm	w_angen_a	SC1_VRoot_VerbTerm
e_ofisi_ini	LocPre_NStem_LocSuf	LocPre_NStem_LocSuf	e_ofisi_ini	LocPre_NStem_LocSuf
nga_u_Matshi	AdvPre_NPrePre1a_ProperName	AdvPre_NPrePre1a_ProperName	nga_u_matshi	AdvPre_NPrePre1a_NStem
2006	Num	Num	2005	Num
.	Punc	Punc	.	Punc
nga_eli	AdvPre_Dem5_Pos1	AdvPre_Dem5	nga_eli	AdvPre_Dem5
xesha	NStem	NStem	xesha	NStem
u_a_ye_ngen_a	SC1a_Past_SC1a_VRoot_VerbTerm	SC2ps_Past_Past_VRoot_VerbTerm	u_a_ye_ngen_a	SC2ps_Past_Past_VRoot_VerbTerm
ku_le	LocPre_Dem9_Pos1	LocPre_Dem9	ku_le	LocPre_Dem9
ofisi	NStem	NStem	ofisi	NStem
u_masipala	NPrePre1a_NStem	NPrePre1a_NStem	u_masipala	NPrePre1a_NStem
u_a_ye_tyal_a	SC1a_Past_SC1a_VRoot_VerbTerm	SC1_Past_Past_VRoot_VerbTerm	wa_ye_tyabala	PossConc3_CopPre_NStem
i_mali	NPrePre9_NStem	NPrePre9_NStem	i_mali	NPrePre9_NStem
e_ninzi	AdjPref9_AdjStem	AdjPref9_AdjStem	e_ninzi	AdjPref9_AdjStem
ya_a_ma_nzi	PossConc9_NPrePre6_BPre6_NStem	PossConc9_NPrePre6_BPre6_NStem	ya_a_ma_nzi	PossConc9_NPrePre6_BPre6_NStem
ku_i_Sedibeng	LocPre_NPrePre9_ProperName	LocPre_NPrePre9_NStem	ku_i_sedibang	LocPre_NPrePre9_NStem
Water	Foreign	Foreign	water	Foreign
.	Punc	Punc	.	Punc
ku_nge_ka_bi	CopPre_NegPre_ExclNeg_Cop	SC15_NegPre_NegPre_AdjStem	ku_ngeka_bi	SC15_NegPre_AdjStem
ku_dala	CopPre_AdjStem	AdvPre_AdjStem	ku_dal_a	SC15_VRoot_VerbTerm
e_u_m_va	LocPre_NPrePre3_BPre3_NStem	LocPre_NPrePre3_BPre3_NStem	e_u_m_va	LocPre_NPrePre3_BPre3_NStem
kwa_u_ku_ngen_a	PossConc15_NPrePre15_BPre15_VRoot_VerbTerm	PossConc15_NPrePre15_BPre15_VRoot_VerbTerm	kwa_u_ku_ngen_a	PossConc15_NPrePre15_BPre15_VRoot_VerbTerm
ku_le	LocPre_Dem9_Pos1	LocPre_Dem9	ku_le	LocPre_Dem9
ofisi	NStem	NStem	ofisi	NStem
elo	Dem5_Pos2	Dem5	elo	Dem5
tyala	NStem	NStem	tyal_a	VRoot_VerbTerm
l(i)_a_se_li_hlawul_w_e	SC5_Past_Pro_OC5_VRoot_PassExt_VerbTerm	BPre5_Past_Pro_OC5_VRoot_PassExt_VerbTerm	li_se_li_hlawul_w_e	SC5_Pro_SC5_VRoot_PassExt_VerbTerm
.	Punc	Punc	.	Punc
nga_phandle	AdvPre_Adv	AdvPre_Adv	nga_phandle	AdvPre_Adv
ku_eli	LocPre_Dem5_Pos1	LocPre_Dem5	ku_eli	LocPre_Dem5
tyala	NStem	NStem	tyal_a	VRoot_VerbTerm
,	Punc	Punc	,	Punc
ku_a_ku_kho	CopPre_Past_CopPre_Adv	CopPre_Past_CopPre_Adv	kwa_ku_kho	PossConc15_CopPre_Adv
i_(li)_tyala	NPrePre5_BPre5_NStem	NPrePre5_BPre5_NStem	i_(li)_tyala	NPrePre5_BPre5_NStem
la_i_mi_nxeba	PossConc5_NPrePre4_BPre4_NStem	PossConc5_NPrePre4_BPre4_NStem	la_i_mi_nxeba	PossConc5_NPrePre4_BPre4_NStem
ya_i_(z)i_ofisi	PossConc4_NPrePre10_BPre10_NStem	PossConc9_NPrePre10_BPre10_NStem	ya_i_(z)i_fisi	PossConc9_NPrePre10_BPre10_NStem
zi_ka_masipala	PossConc10_PossKA_NStem	PossConc10_PossKA_NStem	zi_ka_masipala	PossConc10_PossKA_NStem
na_lo	AdvPre_PronStem5	AdvPre_PronStem5	na_lo	AdvPre_PronStem5
li_a_li_nting_a	SC5_Past_SC5_VRoot_VerbTerm	SC5_Past_OC5_VRoot_VerbTerm	la_li_n_tinga	PossConc5_RelConc5_BPre9_NStem
kunye	Conj	Conj	kunye	Conj
na_u_ku_nga_qokelel_w_a	AdvPre_NPrePre15_BPre15_NegPre_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_NegPre_VRoot_PassExt_VerbTerm	na_u_ku_nga_qokelel_w_a	AdvPre_NPrePre15_BPre15_NegPre_VRoot_PassExt_VerbTerm
kaku_hle	AdvPre_AdjStem	AdvPre_AdjStem	kaku_hle	AdvPre_AdjStem
kwa_i_mali	PossConc15_NPrePre9_NStem	PossConc15_NPrePre9_NStem	kwa_i_mali	PossConc15_NPrePre9_NStem
e_ngen_a_yo	RelConc9_VRoot_VerbTerm_RelSuf	RelConc9_VRoot_VerbTerm_RelSuf	e_nge_na_yo	RelConc9_NegPre_CopPre_PronStem9
ku_a_shiy_a	SC15_Past_VRoot_VerbTerm	SC15_Past_VRoot_VerbTerm	ku_a_shiy_a	SC15_Past_VRoot_VerbTerm
lo	Dem1a_Pos1	Dem3	lo	Dem3
masipala	NStem	NStem	masipala	NStem
e_ntyumpantyumpek_a	SC1a_VRoot_VerbTerm	RelConc9_VRoot_VerbTerm	e_ntyumpantyumpek_a	RelConc9_VRoot_VerbTerm
e_a_ma_tyala_ini	LocPre_NPrePre6_BPre6_NStem_LocSuf	LocPre_NPrePre6_BPre6_NStem_LocSuf	e_a_ma_tyala_ini	LocPre_NPrePre6_BPre6_NStem_LocSuf
.	Punc	Punc	.	Punc
lo	Dem1a_Pos1	Dem3	lo	Dem3
sodolophu	NStem	NStem	sa_u_dolophu	PossConc7_NPrePre11_NStem
u_a_sek_a	SC1a_Past_VRoot_VerbTerm	SC1_Past_VRoot_VerbTerm	u_a_sek_a	SC1_Past_VRoot_VerbTerm
i_komiti	NPrePre9_NStem	NPrePre9_NStem	i_komiti	NPrePre9_NStem
e_ya_yi_jong_an_e	RelConc9_Pres_SC9_VRoot_RecipExt_VerbTerm	RelConc9_Pres_OC9_VRoot_RecipExt_VerbTerm	e_ya_yi_jong_an_e	RelConc9_Pres_OC9_VRoot_RecipExt_VerbTerm
na_i_mali	AdvPre_NPrePre9_NStem	AdvPre_NPrePre9_NStem	na_i_mali	AdvPre_NPrePre9_NStem
e_ngen_a_yo	RelConc9_VRoot_VerbTerm_RelSuf	RelConc9_VRoot_VerbTerm_RelSuf	e_nge_na_yo	RelConc9_NegPre_CopPre_PronStem9
na_e_phum_a_yo	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf	na_e_phum_a_yo	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf
na_e_ya_yi_hlangan_a	AdvPre_RelConc9_Past_SC9_VRoot_VerbTerm	AdvPre_RelConc9_Pres_OC9_VRoot_VerbTerm	na_e_ya_yi_hle_a_nga	AdvPre_RelConc9_PossConc9_OC9_AdjStem_VerbTerm_NegPre
ka_nye	AdvPre_AdjStem	AdvPre_AdjStem	kanye	Adv
nga_i_veki	AdvPre_NPrePre9_NStem	AdvPre_NPrePre9_NStem	nga_i_veki	AdvPre_NPrePre9_NStem
i_nik_e	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm	i_nik_e	SC9_VRoot_VerbTerm
i_(z)in_gxelo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_gxelo	NPrePre10_BPre10_NStem
nga_i_mali	AdvPre_NPrePre9_NStem	AdvPre_NPrePre9_NStem	nga_i_mali	AdvPre_NPrePre9_NStem
e_ngen_a_yo	RelConc9_VRoot_VerbTerm_RelSuf	RelConc9_VRoot_VerbTerm_RelSuf	e_nge_na_yo	RelConc9_NegPre_CopPre_PronStem9
na_e_phum_a_yo	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf	na_e_phum_a_yo	AdvPre_RelConc9_VRoot_VerbTerm_RelSuf
ku_u_masipala	LocPre_NPrePre1a_NStem	LocPre_NPrePre1a_NStem	ku_u_masipala	LocPre_NPrePre1a_NStem
kunye	Conj	Conj	kunye	Conj
na_i_(z)in_konzo	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	na_i_(z)in_konzo	AdvPre_NPrePre10_BPre10_NStem
ezi_buthathaka	RelConc10_RelStem	RelConc8_RelStem	ezi_buthathaka	RelConc8_RelStem
ku_u_m_sebenzi	LocPre_NPrePre3_BPre3_NStem	LocPre_NPrePre3_BPre3_NStem	ku_u_m_sebenzi	LocPre_NPrePre3_BPre3_NStem
ka_u_masipala	PossKA_NPrePre1a_NStem	PossKA_NPrePre1a_NStem	ka_u_masipala	PossKA_NPrePre1a_NStem
na_ku_nikezelo	AdvPre_LocPre_NStem	AdvPre_LocPre_NStem	na_ku_nikezelo	AdvPre_LocPre_NStem
lwa_i_(z)in_konzo	PossConc11_NPrePre10_BPre10_NStem	PossConc11_NPrePre10_BPre10_NStem	lwa_i_(z)in_konzo	PossConc11_NPrePre10_BPre10_NStem
.	Punc	Punc	.	Punc
njenga_oko	AdvPre_Dem15_Pos2	AdvPre_Dem15	njenga_oko	AdvPre_Dem15
u_masipala	NPrePre1a_NStem	NPrePre1a_NStem	u_masipala	NPrePre1a_NStem
wa_ye_na_u_lu_az_i	SC1a_Past_AdvPre_NPrePre11_BPre11_VRoot_VerbTerm	SC6_PronStem1_CopPre_NPrePre11_BPre11_VRoot_VerbTerm	wa_ye_na_u_lu_az_i	SC6_PronStem1_CopPre_NPrePre11_BPre11_VRoot_VerbTerm
